Model,TBS1072C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,390.625
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
5.738e+03,-100.025
5.750e+03,-96.5312
5.762e+03,-100.025
5.775e+03,-103.519
5.788e+03,-103.519
5.800e+03,-103.519
5.812e+03,-99.0062
5.825e+03,-94.4906
5.838e+03,-99.0062
5.850e+03,-103.519
5.862e+03,-99.0062
5.875e+03,-94.4906
5.888e+03,-99.0062
5.900e+03,-103.519
5.912e+03,-102.016
5.925e+03,-100.509
5.938e+03,-102.016
5.950e+03,-103.519
5.962e+03,-100.025
5.975e+03,-96.5312
5.988e+03,-100.025
6.000e+03,-103.519
6.012e+03,-99.0062
6.025e+03,-94.4906
6.038e+03,-95.9969
6.050e+03,-97.5
6.062e+03,-97.0156
6.075e+03,-96.5312
6.088e+03,-100.025
6.100e+03,-103.519
6.112e+03,-100.509
6.125e+03,-97.5
6.138e+03,-100.509
6.150e+03,-103.519
6.162e+03,-102.016
6.175e+03,-100.509
6.188e+03,-102.016
6.200e+03,-103.519
6.212e+03,-103.519
6.225e+03,-103.519
6.238e+03,-102.016
6.250e+03,-100.509
6.262e+03,-102.016
6.275e+03,-103.519
6.288e+03,-103.519
6.300e+03,-103.519
6.312e+03,-103.519
6.325e+03,-103.519
6.338e+03,-103.519
6.350e+03,-103.519
6.362e+03,-103.519
6.375e+03,-103.519
6.388e+03,-103.519
6.400e+03,-103.519
6.412e+03,-103.519
6.425e+03,-103.519
6.438e+03,-99.0062
6.450e+03,-94.4906
6.462e+03,-99.0062
6.475e+03,-103.519
6.488e+03,-100.509
6.500e+03,-97.5
6.512e+03,-100.509
6.525e+03,-103.519
6.538e+03,-103.519
6.550e+03,-103.519
6.562e+03,-100.025
6.575e+03,-96.5312
6.588e+03,-100.025
6.600e+03,-103.519
6.612e+03,-99.0062
6.625e+03,-94.4906
6.638e+03,-99.0062
6.650e+03,-103.519
6.662e+03,-100.509
6.675e+03,-97.5
6.688e+03,-99.0062
6.700e+03,-100.509
6.712e+03,-102.016
6.725e+03,-103.519
6.738e+03,-100.025
6.750e+03,-96.5312
6.762e+03,-98.5219
6.775e+03,-100.509
6.788e+03,-99.0062
6.800e+03,-97.5
6.812e+03,-99.0062
6.825e+03,-100.509
6.838e+03,-100.509
6.850e+03,-100.509
6.862e+03,-102.016
6.875e+03,-103.519
6.888e+03,-100.025
6.900e+03,-96.5312
6.912e+03,-100.025
6.925e+03,-103.519
6.938e+03,-102.016
6.950e+03,-100.509
6.962e+03,-102.016
6.975e+03,-103.519
6.988e+03,-103.519
7.000e+03,-103.519
7.012e+03,-100.025
7.025e+03,-96.5312
7.038e+03,-100.025
7.050e+03,-103.519
7.062e+03,-100.025
7.075e+03,-96.5312
7.088e+03,-100.025
7.100e+03,-103.519
7.112e+03,-100.025
7.125e+03,-96.5312
7.138e+03,-100.025
7.150e+03,-103.519
7.162e+03,-99.0062
7.175e+03,-94.4906
7.188e+03,-99.0062
7.200e+03,-103.519
7.212e+03,-98.5188
7.225e+03,-93.5188
7.238e+03,-98.5188
7.250e+03,-103.519
7.262e+03,-103.519
7.275e+03,-103.519
7.288e+03,-102.016
7.300e+03,-100.509
7.312e+03,-100.509
