Model,TBS1072C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,390.625
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
6.525e+03,-96.5312
6.538e+03,-100.025
6.550e+03,-103.519
6.562e+03,-102.016
6.575e+03,-100.509
6.588e+03,-99.0062
6.600e+03,-97.5
6.612e+03,-95.9969
6.625e+03,-94.4906
6.638e+03,-99.0062
6.650e+03,-103.519
6.662e+03,-99.0062
6.675e+03,-94.4906
6.688e+03,-95.5125
6.700e+03,-96.5312
6.712e+03,-100.025
6.725e+03,-103.519
6.738e+03,-100.025
6.750e+03,-96.5312
6.762e+03,-98.5219
6.775e+03,-100.509
6.788e+03,-99.0062
6.800e+03,-97.5
6.812e+03,-99.0062
6.825e+03,-100.509
6.838e+03,-98.5219
6.850e+03,-96.5312
6.862e+03,-97.0156
6.875e+03,-97.5
6.888e+03,-100.509
6.900e+03,-103.519
6.912e+03,-97.95
6.925e+03,-92.3812
6.938e+03,-96.4469
6.950e+03,-100.509
6.962e+03,-102.016
6.975e+03,-103.519
6.988e+03,-97.95
7.000e+03,-92.3812
7.012e+03,-97.95
7.025e+03,-103.519
7.038e+03,-100.509
7.050e+03,-97.5
7.062e+03,-99.0062
7.075e+03,-100.509
7.088e+03,-98.5219
7.100e+03,-96.5312
7.112e+03,-100.025
7.125e+03,-103.519
7.138e+03,-97.95
7.150e+03,-92.3812
7.162e+03,-97.95
7.175e+03,-103.519
7.188e+03,-103.519
7.200e+03,-103.519
7.212e+03,-103.519
7.225e+03,-103.519
7.238e+03,-102.016
7.250e+03,-100.509
7.262e+03,-98.5219
7.275e+03,-96.5312
7.288e+03,-96.5312
7.300e+03,-96.5312
7.312e+03,-100.025
7.325e+03,-103.519
7.338e+03,-100.509
7.350e+03,-97.5
7.362e+03,-100.509
7.375e+03,-103.519
7.388e+03,-99.0062
7.400e+03,-94.4906
7.412e+03,-97.5
7.425e+03,-100.509
7.438e+03,-102.016
7.450e+03,-103.519
7.462e+03,-100.025
7.475e+03,-96.5312
7.488e+03,-100.025
7.500e+03,-103.519
7.512e+03,-100.025
7.525e+03,-96.5312
7.538e+03,-95.025
7.550e+03,-93.5188
7.562e+03,-98.5188
7.575e+03,-103.519
7.588e+03,-103.519
7.600e+03,-103.519
7.612e+03,-103.519
7.625e+03,-103.519
7.638e+03,-100.509
7.650e+03,-97.5
7.662e+03,-99.0062
7.675e+03,-100.509
7.688e+03,-98.5219
7.700e+03,-96.5312
7.712e+03,-100.025
7.725e+03,-103.519
7.738e+03,-102.016
7.750e+03,-100.509
7.762e+03,-102.016
7.775e+03,-103.519
7.788e+03,-103.519
7.800e+03,-103.519
7.812e+03,-103.519
7.825e+03,-103.519
7.838e+03,-103.519
7.850e+03,-103.519
7.862e+03,-103.519
7.875e+03,-103.519
7.888e+03,-103.519
7.900e+03,-103.519
7.912e+03,-103.519
7.925e+03,-103.519
7.938e+03,-103.519
7.950e+03,-103.519
7.962e+03,-102.016
7.975e+03,-100.509
7.988e+03,-102.016
8.000e+03,-103.519
8.012e+03,-103.519
8.025e+03,-103.519
8.038e+03,-100.025
8.050e+03,-96.5312
8.062e+03,-98.5219
8.075e+03,-100.509
8.088e+03,-98.5219
8.100e+03,-96.5312
8.112e+03,-98.5219
8.125e+03,-100.509
8.138e+03,-98.5219
8.150e+03,-96.5312
8.162e+03,-97.0156
8.175e+03,-97.5
8.188e+03,-100.509
8.200e+03,-103.519
8.212e+03,-103.519
8.225e+03,-103.519
8.238e+03,-103.519
8.250e+03,-103.519
8.262e+03,-103.519
8.275e+03,-103.519
8.288e+03,-103.519
8.300e+03,-103.519
8.312e+03,-100.509
8.325e+03,-97.5
8.338e+03,-99.0062
8.350e+03,-100.509
8.362e+03,-102.016
8.375e+03,-103.519
8.388e+03,-100.025
8.400e+03,-96.5312
8.412e+03,-100.025
8.425e+03,-103.519
8.438e+03,-103.519
8.450e+03,-103.519
8.462e+03,-103.519
8.475e+03,-103.519
8.488e+03,-100.025
8.500e+03,-96.5312
8.512e+03,-97.0156
8.525e+03,-97.5
8.538e+03,-97.5
8.550e+03,-97.5
8.562e+03,-100.509
8.575e+03,-103.519
8.588e+03,-100.025
8.600e+03,-96.5312
8.612e+03,-100.025
8.625e+03,-103.519
8.638e+03,-100.025
8.650e+03,-96.5312
8.662e+03,-96.5312
8.675e+03,-96.5312
8.688e+03,-96.5312
8.700e+03,-96.5312
